pair_id,pair_date,descending_date,ascending_date,threshold_mode,buffer_m,open_water_area_m2,uncertain_area_m2,open_water_pixels,uncertain_pixels,orbit_agreement_ratio,pair_quality_flag,seed_valid,buffer_edge_reached,uncertain_edge_reached,rain_7d_mm
2026-07-08/2026-07-09,2026-07-09,2026-07-08,2026-07-10,per_scene_otsu,50.000,1400.000,41100.000,14,411,0.033,low_orbit_agreement,True,False,True,110.800
2026-08-13/2026-08-14,2026-08-14,2026-08-13,2026-08-15,fixed_wet_baseline,0.000,27100.000,5000.000,271,50,0.844,ok,True,True,True,12.700
2026-08-13/2026-08-14,2026-08-14,2026-08-13,2026-08-15,fixed_wet_baseline,20.000,28100.000,7500.000,281,75,0.789,ok,True,True,True,12.700
2026-08-13/2026-08-14,2026-08-14,2026-08-13,2026-08-15,fixed_wet_baseline,50.000,28100.000,9700.000,281,97,0.743,ok,True,False,True,12.700
2026-08-13/2026-08-14,2026-08-14,2026-08-13,2026-08-15,per_scene_otsu,0.000,26700.000,5400.000,267,54,0.832,ok,True,True,True,12.700
2026-08-13/2026-08-14,2026-08-14,2026-08-13,2026-08-15,per_scene_otsu,20.000,27400.000,8100.000,274,81,0.772,ok,True,False,True,12.700
2026-08-13/2026-08-14,2026-08-14,2026-08-13,2026-08-15,per_scene_otsu,50.000,27400.000,9200.000,274,92,0.749,ok,True,False,True,12.700
2026-08-25/2026-08-26,2026-08-26,2026-08-25,2026-08-27,fixed_wet_baseline,0.000,27900.000,5400.000,279,54,0.838,ok,True,True,True,2.100
2026-08-25/2026-08-26,2026-08-26,2026-08-25,2026-08-27,fixed_wet_baseline,20.000,29000.000,8300.000,290,83,0.777,ok,True,False,True,2.100
2026-08-25/2026-08-26,2026-08-26,2026-08-25,2026-08-27,fixed_wet_baseline,50.000,29000.000,10500.000,290,105,0.734,ok,True,False,True,2.100
2026-08-25/2026-08-26,2026-08-26,2026-08-25,2026-08-27,per_scene_otsu,0.000,27400.000,5300.000,274,53,0.838,ok,True,True,True,2.100
2026-08-25/2026-08-26,2026-08-26,2026-08-25,2026-08-27,per_scene_otsu,20.000,28300.000,8500.000,283,85,0.769,ok,True,False,True,2.100
2026-08-25/2026-08-26,2026-08-26,2026-08-25,2026-08-27,per_scene_otsu,50.000,28300.000,10600.000,283,106,0.728,ok,True,False,True,2.100
2026-09-06/2026-09-07,2026-09-07,2026-09-06,2026-09-08,fixed_wet_baseline,0.000,26500.000,6100.000,265,61,0.813,ok,True,True,True,83.200
2026-09-06/2026-09-07,2026-09-07,2026-09-06,2026-09-08,fixed_wet_baseline,20.000,27300.000,9300.000,273,93,0.746,ok,True,False,True,83.200
2026-09-06/2026-09-07,2026-09-07,2026-09-06,2026-09-08,fixed_wet_baseline,50.000,27300.000,10400.000,273,104,0.724,ok,True,False,True,83.200
2026-09-06/2026-09-07,2026-09-07,2026-09-06,2026-09-08,per_scene_otsu,0.000,27700.000,5500.000,277,55,0.834,ok,True,True,True,83.200
2026-09-06/2026-09-07,2026-09-07,2026-09-06,2026-09-08,per_scene_otsu,20.000,28700.000,8500.000,287,85,0.771,ok,True,False,True,83.200
2026-09-06/2026-09-07,2026-09-07,2026-09-06,2026-09-08,per_scene_otsu,50.000,28700.000,9800.000,287,98,0.746,ok,True,False,True,83.200
2026-09-18/2026-09-19,2026-09-19,2026-09-18,2026-09-20,fixed_wet_baseline,0.000,27500.000,4800.000,275,48,0.851,ok,True,True,True,45.700
2026-09-18/2026-09-19,2026-09-19,2026-09-18,2026-09-20,fixed_wet_baseline,20.000,28200.000,7000.000,282,70,0.801,ok,True,False,True,45.700
2026-09-18/2026-09-19,2026-09-19,2026-09-18,2026-09-20,fixed_wet_baseline,50.000,28200.000,7800.000,282,78,0.783,ok,True,False,False,45.700
2026-09-18/2026-09-19,2026-09-19,2026-09-18,2026-09-20,per_scene_otsu,0.000,28400.000,4600.000,284,46,0.861,ok,True,True,True,45.700
2026-09-18/2026-09-19,2026-09-19,2026-09-18,2026-09-20,per_scene_otsu,20.000,29200.000,7100.000,292,71,0.804,ok,True,False,True,45.700
2026-09-18/2026-09-19,2026-09-19,2026-09-18,2026-09-20,per_scene_otsu,50.000,29200.000,8600.000,292,86,0.772,ok,True,False,True,45.700
