pond_id,granule_id,orbit_direction,date,time_jst,rain_7d_mm,layer,band,band_label,scene_flag,band_area_m2,sampled_pixels,positive_pixels,positive_ratio,min_db,p10_db,p25_db,median_db,p75_db,p90_db,max_db,mean_db,baseline_median_db,delta_from_baseline_db
27,NISAR_L2_PR_GCOV_026_024_A_018_4005_DHDH_A_20260721T202900_20260721T202934_P05023_N_F_J_001,ASCENDING,2026-07-22,2026-07-22 05:29,17.600000,HHHH,outside_0_20,外側0–20 m,ok,20861.924188,205,205,1.000000,-20.086543,-12.600998,-9.790572,-7.000922,-4.151483,-2.445329,4.698867,-7.089437,-6.544273,-0.456649
27,NISAR_L2_PR_GCOV_026_024_A_018_4005_DHDH_A_20260721T202900_20260721T202934_P05023_N_F_J_001,ASCENDING,2026-07-22,2026-07-22 05:29,17.600000,HVHV,outside_0_20,外側0–20 m,ok,20861.924188,205,205,1.000000,-27.118255,-20.030592,-16.477339,-13.032665,-10.340297,-8.170238,-0.088637,-13.666752,-13.192392,0.159727
27,NISAR_L2_PR_GCOV_026_024_A_018_4005_DHDH_A_20260721T202900_20260721T202934_P05023_N_F_J_001,ASCENDING,2026-07-22,2026-07-22 05:29,17.600000,HHHH,outside_20_50,外側20–50 m,ok,35807.175654,355,355,1.000000,-16.203469,-11.056955,-9.109700,-6.880726,-4.653904,-2.590799,4.279357,-6.896688,-6.730669,-0.150056
27,NISAR_L2_PR_GCOV_026_024_A_018_4005_DHDH_A_20260721T202900_20260721T202934_P05023_N_F_J_001,ASCENDING,2026-07-22,2026-07-22 05:29,17.600000,HVHV,outside_20_50,外側20–50 m,ok,35807.175654,355,355,1.000000,-23.491436,-18.982051,-15.895117,-13.057883,-10.771658,-8.884201,-2.005877,-13.466458,-12.661904,-0.395979
27,NISAR_L2_PR_GCOV_026_024_A_018_4005_DHDH_A_20260721T202900_20260721T202934_P05023_N_F_J_001,ASCENDING,2026-07-22,2026-07-22 05:29,17.600000,HHHH,outside_50_100,外側50–100 m,ok,71968.696664,722,709,0.981994,-16.599402,-11.548151,-9.532686,-7.832925,-5.936400,-4.002820,6.252717,-7.668555,-7.047429,-0.785496
27,NISAR_L2_PR_GCOV_026_024_A_018_4005_DHDH_A_20260721T202900_20260721T202934_P05023_N_F_J_001,ASCENDING,2026-07-22,2026-07-22 05:29,17.600000,HVHV,outside_50_100,外側50–100 m,ok,71968.696664,722,709,0.981994,-25.212007,-19.131290,-16.168362,-13.115293,-11.138771,-9.592060,-4.861067,-13.731947,-13.115293,0.000000
27,NISAR_L2_PR_GCOV_028_024_A_018_4005_DHDH_A_20260814T202858_20260814T202933_P05023_N_F_J_001,ASCENDING,2026-08-15,2026-08-15 05:28,9.200000,HHHH,inside_0_20,内側0–20 m,ok,17985.035764,183,183,1.000000,-18.850101,-15.542178,-13.263550,-10.388130,-6.792767,-3.366981,0.486359,-9.917071,-10.388130,0.000000
27,NISAR_L2_PR_GCOV_028_024_A_018_4005_DHDH_A_20260814T202858_20260814T202933_P05023_N_F_J_001,ASCENDING,2026-08-15,2026-08-15 05:28,9.200000,HVHV,inside_0_20,内側0–20 m,ok,17985.035764,183,183,1.000000,-29.527390,-22.679805,-20.741683,-17.423838,-12.701053,-10.308872,-2.588765,-16.881798,-17.489383,0.065545
27,NISAR_L2_PR_GCOV_028_024_A_018_4005_DHDH_A_20260814T202858_20260814T202933_P05023_N_F_J_001,ASCENDING,2026-08-15,2026-08-15 05:28,9.200000,HHHH,inside_20_40,内側20–40 m,ok,12060.295974,120,120,1.000000,-18.793971,-17.005709,-15.014388,-13.104389,-11.543989,-10.318118,1.468639,-13.081087,-13.338544,0.234155
27,NISAR_L2_PR_GCOV_028_024_A_018_4005_DHDH_A_20260814T202858_20260814T202933_P05023_N_F_J_001,ASCENDING,2026-08-15,2026-08-15 05:28,9.200000,HVHV,inside_20_40,内側20–40 m,ok,12060.295974,120,120,1.000000,-28.797336,-24.782279,-23.539469,-21.782086,-20.067270,-19.129420,-5.175723,-21.623230,-21.327731,-0.454355
27,NISAR_L2_PR_GCOV_028_024_A_018_4005_DHDH_A_20260814T202858_20260814T202933_P05023_N_F_J_001,ASCENDING,2026-08-15,2026-08-15 05:28,9.200000,HHHH,inside_core,内側40 m以上,ok,8509.437294,88,88,1.000000,-21.141066,-16.545580,-14.726576,-13.731124,-12.649346,-11.113501,-9.312778,-13.798953,-13.797462,0.066338
27,NISAR_L2_PR_GCOV_028_024_A_018_4005_DHDH_A_20260814T202858_20260814T202933_P05023_N_F_J_001,ASCENDING,2026-08-15,2026-08-15 05:28,9.200000,HVHV,inside_core,内側40 m以上,ok,8509.437294,88,88,1.000000,-27.421286,-24.301658,-23.305236,-22.108670,-20.860108,-19.536689,-18.239540,-22.129703,-21.906236,-0.202434
27,NISAR_L2_PR_GCOV_028_024_A_018_4005_DHDH_A_20260814T202858_20260814T202933_P05023_N_F_J_001,ASCENDING,2026-08-15,2026-08-15 05:28,9.200000,HHHH,outside_0_20,外側0–20 m,ok,20861.924188,205,205,1.000000,-18.836258,-12.361992,-9.310763,-6.853667,-4.462121,-2.215974,5.993611,-7.076202,-6.544273,-0.309394
27,NISAR_L2_PR_GCOV_028_024_A_018_4005_DHDH_A_20260814T202858_20260814T202933_P05023_N_F_J_001,ASCENDING,2026-08-15,2026-08-15 05:28,9.200000,HVHV,outside_0_20,外側0–20 m,ok,20861.924188,205,205,1.000000,-24.111623,-19.695719,-16.572559,-12.443565,-10.319295,-8.522278,-3.120397,-13.416514,-13.192392,0.748827
27,NISAR_L2_PR_GCOV_028_024_A_018_4005_DHDH_A_20260814T202858_20260814T202933_P05023_N_F_J_001,ASCENDING,2026-08-15,2026-08-15 05:28,9.200000,HHHH,outside_20_50,外側20–50 m,ok,35807.175654,355,355,1.000000,-16.415710,-10.827274,-9.001445,-6.973437,-4.959815,-2.801599,2.618065,-6.909521,-6.730669,-0.242767
27,NISAR_L2_PR_GCOV_028_024_A_018_4005_DHDH_A_20260814T202858_20260814T202933_P05023_N_F_J_001,ASCENDING,2026-08-15,2026-08-15 05:28,9.200000,HVHV,outside_20_50,外側20–50 m,ok,35807.175654,355,355,1.000000,-23.560167,-18.254999,-15.718128,-12.902942,-10.578769,-8.674867,-4.912568,-13.247996,-12.661904,-0.241038
27,NISAR_L2_PR_GCOV_028_024_A_018_4005_DHDH_A_20260814T202858_20260814T202933_P05023_N_F_J_001,ASCENDING,2026-08-15,2026-08-15 05:28,9.200000,HHHH,outside_50_100,外側50–100 m,ok,71968.696664,722,709,0.981994,-18.967687,-11.188274,-9.499969,-7.512318,-5.828113,-3.756314,6.788201,-7.510659,-7.047429,-0.464889
