pond_id,pond_name,orbit_direction,layer,zone,observation_count,first_observation,last_observation,median_min_db,median_max_db,median_mean_db,median_std_db,median_range_db,median_range_without_common_shift_db
18,Unnamed,ASCENDING,HHHH,shoreline,7,2026-06-27,2026-09-19,-15.464237,-10.976981,-13.410792,1.974844,4.487257,4.487257
18,Unnamed,ASCENDING,HHHH,whole,7,2026-06-27,2026-09-19,-15.837577,-12.987605,-14.622985,1.220484,2.849973,2.849973
18,Unnamed,ASCENDING,HVHV,core,7,2026-06-27,2026-09-19,-21.433150,-20.519012,-21.149850,0.344222,0.914138,0.914138
18,Unnamed,ASCENDING,HVHV,shoreline,7,2026-06-27,2026-09-19,-20.548809,-17.898701,-19.441792,1.095689,2.650109,2.650109
18,Unnamed,ASCENDING,HVHV,whole,7,2026-06-27,2026-09-19,-20.953201,-19.228872,-20.330766,0.681801,1.724329,1.724329
18,Unnamed,DESCENDING,HHHH,core,6,2026-06-26,2026-09-18,-16.028003,-6.787552,-14.104971,3.611539,9.240452,1.148050
18,Unnamed,DESCENDING,HHHH,shoreline,6,2026-06-26,2026-09-18,-14.798889,-6.178538,-11.150808,3.029420,8.620351,4.764643
18,Unnamed,DESCENDING,HHHH,whole,6,2026-06-26,2026-09-18,-15.452084,-6.436472,-12.766188,3.279171,9.015612,2.887660
18,Unnamed,DESCENDING,HVHV,core,6,2026-06-26,2026-09-18,-20.851998,-11.653201,-18.964481,3.594535,9.198796,0.899467
18,Unnamed,DESCENDING,HVHV,shoreline,6,2026-06-26,2026-09-18,-19.323486,-11.430500,-16.916251,2.900268,7.892986,2.817897
18,Unnamed,DESCENDING,HVHV,whole,6,2026-06-26,2026-09-18,-19.831635,-11.525730,-18.003604,3.235122,8.305905,1.551136
19,Unnamed,ASCENDING,HHHH,core,7,2026-06-27,2026-09-19,-16.095740,-13.680442,-15.200504,1.078459,2.415298,2.415298
19,Unnamed,ASCENDING,HHHH,shoreline,7,2026-06-27,2026-09-19,-14.591259,-9.746223,-12.323240,2.081883,4.845035,4.845035
19,Unnamed,ASCENDING,HHHH,whole,7,2026-06-27,2026-09-19,-14.647621,-10.060290,-12.549041,2.008516,4.587331,4.587331
19,Unnamed,ASCENDING,HVHV,core,7,2026-06-27,2026-09-19,-22.008997,-20.002956,-20.726987,0.764666,2.006041,2.006041
19,Unnamed,ASCENDING,HVHV,shoreline,7,2026-06-27,2026-09-19,-19.753041,-17.176797,-18.581248,1.060657,2.576244,2.576244
19,Unnamed,ASCENDING,HVHV,whole,7,2026-06-27,2026-09-19,-19.932707,-17.402208,-18.798609,1.017923,2.530499,2.530499
19,Unnamed,DESCENDING,HHHH,core,6,2026-06-26,2026-09-18,-16.439819,-7.679604,-13.945668,3.185597,8.760215,2.244964
19,Unnamed,DESCENDING,HHHH,shoreline,6,2026-06-26,2026-09-18,-14.074748,-6.330557,-10.369329,2.671163,7.744191,4.977186
19,Unnamed,DESCENDING,HHHH,whole,6,2026-06-26,2026-09-18,-14.294629,-6.457966,-10.652213,2.731165,7.836663,4.905163
19,Unnamed,DESCENDING,HVHV,core,6,2026-06-26,2026-09-18,-20.860383,-11.668652,-18.647292,3.509285,9.191731,1.901260
19,Unnamed,DESCENDING,HVHV,shoreline,6,2026-06-26,2026-09-18,-18.342530,-11.760700,-16.154020,2.405124,6.581829,2.931464
19,Unnamed,DESCENDING,HVHV,whole,6,2026-06-26,2026-09-18,-18.536890,-11.754274,-16.381798,2.506132,6.782616,2.887408
2,Unnamed,ASCENDING,HHHH,core,7,2026-06-27,2026-09-19,-15.474931,-12.581980,-13.984659,1.108182,2.892951,2.892951
2,Unnamed,ASCENDING,HHHH,shoreline,7,2026-06-27,2026-09-19,-13.680393,-12.152758,-13.164769,0.564336,1.527635,1.527635
2,Unnamed,ASCENDING,HHHH,whole,7,2026-06-27,2026-09-19,-13.803272,-12.201131,-13.236270,0.602848,1.602141,1.602141
2,Unnamed,ASCENDING,HVHV,core,7,2026-06-27,2026-09-19,-22.682748,-20.975808,-21.712516,0.619744,1.706940,1.706940
2,Unnamed,ASCENDING,HVHV,shoreline,7,2026-06-27,2026-09-19,-21.395542,-20.893074,-21.171442,0.196354,0.502469,0.502469
2,Unnamed,ASCENDING,HVHV,whole,7,2026-06-27,2026-09-19,-21.505437,-20.952491,-21.263166,0.215311,0.552945,0.552945
2,Unnamed,DESCENDING,HHHH,core,6,2026-06-26,2026-09-18,-16.810566,-5.708579,-14.631843,4.388165,11.101987,1.089865
2,Unnamed,DESCENDING,HHHH,shoreline,6,2026-06-26,2026-09-18,-16.983393,-6.186689,-14.365551,4.077287,10.796704,1.967071
2,Unnamed,DESCENDING,HHHH,whole,6,2026-06-26,2026-09-18,-16.960860,-6.171191,-14.399849,4.091925,10.789669,1.887436
2,Unnamed,DESCENDING,HVHV,core,6,2026-06-26,2026-09-18,-21.934166,-10.427682,-19.740493,4.573547,11.506483,0.808942
2,Unnamed,DESCENDING,HVHV,shoreline,6,2026-06-26,2026-09-18,-21.442991,-11.485194,-19.506250,3.940399,9.957796,0.881120
2,Unnamed,DESCENDING,HVHV,whole,6,2026-06-26,2026-09-18,-21.453252,-11.391411,-19.522454,3.992331,10.061841,0.799438
20,Unnamed,ASCENDING,HHHH,core,7,2026-06-27,2026-09-19,-17.984950,-15.983056,-16.922215,0.678960,2.001894,2.001894
20,Unnamed,ASCENDING,HHHH,shoreline,7,2026-06-27,2026-09-19,-16.356935,-14.489203,-15.495386,0.746421,1.867732,1.867732
20,Unnamed,ASCENDING,HHHH,whole,7,2026-06-27,2026-09-19,-16.407326,-14.607890,-15.573909,0.718687,1.799436,1.799436
20,Unnamed,ASCENDING,HVHV,core,7,2026-06-27,2026-09-19,-22.797440,-20.966892,-22.052024,0.706542,1.830548,1.830548
20,Unnamed,ASCENDING,HVHV,shoreline,7,2026-06-27,2026-09-19,-21.263012,-20.453867,-20.891389,0.300280,0.809145,0.809145
20,Unnamed,ASCENDING,HVHV,whole,7,2026-06-27,2026-09-19,-21.308326,-20.515511,-20.935133,0.311521,0.792815,0.792815
20,Unnamed,DESCENDING,HHHH,core,6,2026-06-26,2026-09-18,-17.827421,-6.459212,-14.913678,4.202778,11.368209,1.897541
20,Unnamed,DESCENDING,HHHH,shoreline,6,2026-06-26,2026-09-18,-15.817887,-6.843104,-13.689650,3.400002,8.974783,1.533846
20,Unnamed,DESCENDING,HHHH,whole,6,2026-06-26,2026-09-18,-15.897794,-6.813990,-13.775679,3.450314,9.083804,1.448291
20,Unnamed,DESCENDING,HVHV,core,6,2026-06-26,2026-09-18,-21.082516,-10.901246,-19.147121,4.045126,10.181270,0.607391
20,Unnamed,DESCENDING,HVHV,shoreline,6,2026-06-26,2026-09-18,-20.117019,-11.881822,-18.463924,3.232090,8.235196,0.597437
20,Unnamed,DESCENDING,HVHV,whole,6,2026-06-26,2026-09-18,-20.131989,-11.834283,-18.502868,3.273998,8.297706,0.578612
21,Unnamed,ASCENDING,HHHH,core,7,2026-06-27,2026-09-19,-15.598148,-12.687667,-14.031693,1.040933,2.910480,2.910480
21,Unnamed,ASCENDING,HHHH,shoreline,7,2026-06-27,2026-09-19,-13.539511,-10.465219,-12.327856,1.112279,3.074292,3.074292
21,Unnamed,ASCENDING,HHHH,whole,7,2026-06-27,2026-09-19,-13.606552,-10.737597,-12.458479,1.039793,2.868955,2.868955
21,Unnamed,ASCENDING,HVHV,core,7,2026-06-27,2026-09-19,-20.245372,-17.718667,-19.616895,0.874173,2.526705,2.526705
21,Unnamed,ASCENDING,HVHV,shoreline,7,2026-06-27,2026-09-19,-19.167728,-17.691172,-18.533040,0.545869,1.476556,1.476556
